gene_name,isoform_fdr,gene_name_lower,gene,exon_fdr,odds_ratio,log10_isoform_fdr,log10_exon_fdr,log2_odds_ratio,composite_score,min_fdr
Stat1,0.00983963689692184,stat1,STAT1,0.01124706051589605,32.41520787455778,2.007020923229404,1.9489609642276648,5.018598964160027,8.974580851617096,0.00983963689692184
Lztr1,2.7916221064304e-4,lztr1,LZTR1,0.01218077601645194,10.41562924589278,3.554143215650005,1.914325039096089,3.380678233844821,8.849146488590915,2.7916221064304e-4
Gli3,0.015462224143136,gli3,GLI3,0.02858383941704653,41.81824251204622,1.810728032601451,1.5438794351297414,5.386060560696278,8.740668028427471,0.015462224143136
Ezh2,0.0284060789887907,ezh2,EZH2,5.239775886229397e-4,14.80694423769183,1.5465887081150875,3.2806872052190132,3.888202129504229,8.71547804283833,5.239775886229397e-4
Gria2,4.4886103214037e-4,gria2,GRIA2,0.01375706637752777,11.13700585375122,3.3478879994719977,1.8614741640980517,3.4772896455661852,8.686651809136235,4.4886103214037e-4
Runx2,0.0220561050481256,runx2,RUNX2,0.00147636611750878,18.242930484561672,1.6564711764841706,2.8308059009712188,4.189265671891112,8.676542749346503,0.00147636611750878
Zmiz1,0.00492482610180282,zmiz1,ZMIZ1,0.04214954914466095,31.569992984963815,2.3076090912434926,1.3752070654426358,4.9804820806613614,8.66329823734749,0.00492482610180282
Csnk2a1,0.00474341358403034,csnk2a1,CSNK2A1,0.04747432585341427,31.930794362524747,2.32390899787457,1.3235411927160814,4.9968765842588505,8.644326774849501,0.00474341358403034
Tsc2,0.00214923416549624,tsc2,TSC2,7.009418151040435e-4,6.971599291494021,2.6677162440398274,3.1543179691873573,2.801489856610751,8.623524069837936,7.009418151040435e-4
Pak1,0.00163850176428599,pak1,PAK1,0.01123016059745369,13.818917766909452,2.785553060141442,1.9496140291777173,3.788572834300844,8.523739923620003,0.00163850176428599
Tgfbr1,0.0208734713307874,tgfbr1,TGFBR1,0.01160514685625522,29.168049012295985,1.6804053181667824,1.9353493556917662,4.866317035061549,8.482071708920097,0.01160514685625522
Sgca,0.00273416129438857,sgca,SGCA,0.00165390672734307,8.722822221507418,2.563175853109974,2.781488960025628,3.1247951520271324,8.469459965162734,0.00165390672734307
