"gene_name","p_value","log2fc","fdr"
"Cbx8",1.82356058086753e-05,0.656045593458007,0.00358966755883852
"L3mbtl3",2.68888955718241e-05,1.18507722118936,0.00358966755883852
"Kat6b",9.53260890246224e-05,1.59228318506731,0.00848402192319139
"Chd9",0.000182347677777283,-1.01508398338451,0.0121054172838511
"Mbd5",0.000226693207562754,1.07054852929708,0.0121054172838511
"Phf21b",0.000476903680130523,2.05453926498637,0.0143493834213138
"Pwwp2b",0.00048368708161732,2.2857295157093,0.0143493834213138
"Rsf1",0.000326489099693331,0.505792286510891,0.0143493834213138
"Tdrd3",0.000436103295303681,1.06586250902561,0.0143493834213138
"Baz2b",0.000831026032916082,1.23631440504529,0.0158488536277567
"Kdm5b",0.000737846975307825,1.26935823954837,0.0158488536277567
"Kdm6a",0.000678802984171039,1.20432412548193,0.0158488536277567
"Mllt6",0.000799648275038929,1.95889476054907,0.0158488536277567
"Sirt6",0.000812868487517427,0.628632970209726,0.0158488536277567
"Chd6",0.0010764056789973,1.37096599903011,0.0164949077212893
"Hspbap1",0.00101386530562079,1.11992817338444,0.0164949077212893
"Jarid2",0.00115371934032264,1.70821128641118,0.0164949077212893
"Kdm5c",0.00117379493147751,0.366709809147453,0.0164949077212893
"Scml2",0.000994560430053554,-1.83399000342904,0.0164949077212893
"Kdm7a",0.00171000495744759,2.00203624880855,0.0207532419835685
"Kmt2c",0.00163674674420696,1.42566580867887,0.0207532419835685
"Prdm8",0.00162392936827702,1.09463685463433,0.0207532419835685
"Atad2b",0.00305971732313081,1.17769870284377,0.0215602845072894
"Chd8",0.00347232088203061,1.01549756764559,0.0215602845072894
"Cxxc1",0.00342090374379431,0.539186760702249,0.0215602845072894
"Ezh1",0.00240627666123132,1.37993369344183,0.0215602845072894
"Hdac7",0.00371177431014486,1.60865859192931,0.0215602845072894
"Hdac8",0.00352931104329515,0.895942182635931,0.0215602845072894
"Jmjd1c",0.00245496028928126,1.67039500259779,0.0215602845072894
"Kdm1a",0.00375429113615703,1.00323691895349,0.0215602845072894
"Kdm3b",0.00225219991371636,0.719308935695409,0.0215602845072894
"Kdm4c",0.0024264841481923,0.996438665426053,0.0215602845072894
"Mbd1",0.00218164603674597,0.521859526116394,0.0215602845072894
"Mbtd1",0.00265200437930713,1.33342373012438,0.0215602845072894
"Phf14",0.00317005518757746,0.95270994821505,0.0215602845072894
"Phf20l1",0.00379406706460414,1.0530686257806,0.0215602845072894
"Phf21a",0.00286173956154982,1.1112294237988,0.0215602845072894
"Phf3",0.00362051020290091,0.688818799101075,0.0215602845072894
"Rai1",0.00253044148752093,1.42795338390331,0.0215602845072894
"Rere",0.00283677793714674,0.833145160745351,0.0215602845072894
"Sirt2",0.0020761584694063,1.48475456792543,0.0215602845072894
"Smyd3",0.00313157052274207,0.645367737886812,0.0215602845072894
"Sp140",0.00211064584509127,1.28010755548821,0.0215602845072894
"Tdrd7",0.00238736663695653,1.19327548304283,0.0215602845072894
"Tnrc18",0.0037193507008544,1.39231741197517,0.0215602845072894
"Zcwpw1",0.00379525607431685,-1.55300275262626,0.0215602845072894
"Zmynd8",0.00267589653071338,-1.32661987235034,0.0215602845072894
"Kdm3a",0.00402434183151461,1.13781744172906,0.021928556510498
"Kdm5d",0.00401748233890005,1.3670658563972,0.021928556510498
"Kdm4b",0.00436752072244467,1.17488993388563,0.0220024157149571
