"isoform_id","gene_name","p_value","log2fc","fdr"
"ENSMUST00000008995","Hdac4",0.00261863543641197,0.792006940794146,0.511588024555089
"ENSMUST00000092971","Chd3",0.0031962720820483,1.56165511346998,0.511588024555089
"ENSMUST00000108661","Chd3",0.00105399532409635,1.6138384892672,0.511588024555089
"ENSMUST00000112352","Mta3",0.00364578689498581,0.601679885344853,0.511588024555089
"ENSMUST00000113035","Uhrf1",0.00171413966707632,1.38956675823984,0.511588024555089
"ENSMUST00000113039","Uhrf1",0.00354825312448238,1.37439546554667,0.511588024555089
"ENSMUST00000114446","Cbx3",0.00304619111981873,-0.597403728923256,0.511588024555089
"ENSMUST00000122992","Chd3",0.0028916031954694,1.61086435625342,0.511588024555089
"ENSMUST00000128981","Chd3",0.00301648181289167,1.4368638450892,0.511588024555089
"ENSMUST00000129188","Rere",0.003602232609104,-1.16992480106804,0.511588024555089
"ENSMUST00000129911","Phf19",0.00266492265320924,4.16992091381284,0.511588024555089
"ENSMUST00000135909","Chd3",0.00337699252224692,1.68917348732186,0.511588024555089
"ENSMUST00000152612","Brd8",0.00329835192349302,-0.662191570848431,0.511588024555089
"ENSMUST00000154827","Alg13",0.00380080255984464,0.688538888216264,0.511588024555089
"ENSMUST00000226681","Chd8",0.00232199446379882,0.428334308166355,0.511588024555089
"ENSMUST00000142379","Rere",0.00491484441704635,1.48542680297598,0.620191929876036
"ENSMUST00000147532","Prdm9",0.00607361165188992,-1.24100787250637,0.68125677362032
"ENSMUST00000208674","Smarca2",0.00605059617062437,1.2895064751114,0.68125677362032
"ENSMUST00000218438","Tet1",0.00665811284497783,1.9156076681241,0.707512096526855
"ENSMUST00000161069","Hr",0.00702950577692032,3.21593723827073,0.709628608180106
"ENSMUST00000022691","Hr",0.00838744193260654,3.98272194421387,0.727173990540362
"ENSMUST00000026559","Sirt3",0.0154140597505215,0.819427742099986,0.727173990540362
"ENSMUST00000028232","Phf19",0.0167879715215913,1.23266069463161,0.727173990540362
"ENSMUST00000031862","Cbx3",0.00772146759156774,-0.516818781195061,0.727173990540362
"ENSMUST00000033811","Morc4",0.0177032642064658,0.800468521113531,0.727173990540362
"ENSMUST00000048966","Tcf20",0.0165953793742941,-0.653071150723402,0.727173990540362
"ENSMUST00000050826","Tet1",0.0217723062832647,0.641636305194144,0.727173990540362
"ENSMUST00000070313","Prdm16",0.0217930898902083,0.693896823670159,0.727173990540362
"ENSMUST00000081567","Mtf2",0.0221828214503246,-0.392760577328285,0.727173990540362
"ENSMUST00000097759","Prdm16",0.0217930898902083,0.854149059158657,0.727173990540362
"ENSMUST00000105636","Prdm16",0.0129726774849061,0.920565459593116,0.727173990540362
"ENSMUST00000107234","Eed",0.013701683254012,0.274519874599787,0.727173990540362
"ENSMUST00000109510","Tcf20",0.0143299879494399,-0.667624708257444,0.727173990540362
"ENSMUST00000109773","Dnmt3b",0.0165505518539651,1.1575410933012,0.727173990540362
"ENSMUST00000110819","Hdac9",0.0206855059893585,1.5522256868834,0.727173990540362
"ENSMUST00000115765","Brd8",0.0148446815524343,-0.50523530366708,0.727173990540362
"ENSMUST00000121739","Kdm2b",0.0167810376120326,1.12454507873319,0.727173990540362
"ENSMUST00000123479","Kdm2b",0.0205078633884562,1.52195263086244,0.727173990540362
"ENSMUST00000135270","Rsf1",0.0196198257591929,-0.999999879775428,0.727173990540362
"ENSMUST00000139679","Kdm4b",0.0132686478195382,1.01885896956324,0.727173990540362
"ENSMUST00000140131","Ing4",0.0132555361440779,-0.44543053900718,0.727173990540362
"ENSMUST00000140327","Dpf3",0.0149645155206616,0.979389705197726,0.727173990540362
"ENSMUST00000141592","Mtf2",0.0186402676315701,-0.460156038454671,0.727173990540362
"ENSMUST00000149369","Zmynd8",0.011980322908842,1.27417490440206,0.727173990540362
"ENSMUST00000153836","Asxl3",0.0201689290502125,0.637429834740599,0.727173990540362
"ENSMUST00000156474","Kdm2b",0.0133217064262731,1.03102679952994,0.727173990540362
"ENSMUST00000160885","Tcf19",0.0205520962578854,3.00705468322584,0.727173990540362
"ENSMUST00000161012","Tcf19",0.0214801390198318,2.55730611234011,0.727173990540362
"ENSMUST00000163060","Hr",0.00806347297722421,4.06867072926202,0.727173990540362
"ENSMUST00000189985","Phip",0.010555091171331,1.58496214004749,0.727173990540362
